Mod,totalEN,totalStd,Glytoucan,Order,Mod2,IUPAC,CommonName2,x_label
Tr32,2.9278932800362303,0.6651268765284116,G91237TK-[NA],0,Tr32-[NA],Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp-[NA],GM3-[NA],Tr32-[NA]
Tr322,4.341575723367339,0.9683381316696213,G63851XY-[NA],0,Tr322-[NA],"Neu5,9Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp-[NA]",9OAc3'SLN-[NA],Tr322-[NA]
Tr33,2.150404761568428,0.35442552337157673,G04307DP-[NA],0,Tr33-[NA],Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp-[NA],3'SLN-[NA],Tr33-[NA]
Tr38,6.031199037987756,5.467051289586831,G56682BC-[NA],0,Tr38-[NA],Gal(b1-3)[Neu5Ac(a2-6)]GalNAc(a1-Thr-[NA],6'STF-[NA],Tr38-[NA]
Tr40,3.1776685298885785,1.0307786863731099,G08169IN-[NA],0,Tr40-[NA],Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-Sp-[NA],3'SLN (Gc)-[NA],Tr40-[NA]
Tr41,1.1928915669508198,0.1537273410375726,G01245TU-[NA],0,Tr41-[NA],Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-Sp-[NA],3'SLec (Gc)-[NA],Tr41-[NA]
Tr47,1.487274034591443,0.36375515566461164,G61010HE-[NA],0,Tr47-[NA],KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp-[NA],3'KDNLN-[NA],Tr47-[NA]
Tr54,1.0732608909003691,0.6600208122730474,G64979HM-[NA],0,Tr54-[NA],GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp-[NA],LNT-2-[NA],Tr54-[NA]
Tr55,3.063708781984765,0.6870484003124125,G29487JS-[NA],0,Tr55-[NA],GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp-[NA],GNLN-[NA],Tr55-[NA]
Tr57,5.344276335409136,2.035613293958822,G39023AU-[NA],0,Tr57-[NA],Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp-[NA],LeA-[NA],Tr57-[NA]
Tr59,0.5111870488045146,0.19466791255980997,G78074HX-[NA],0,Tr59-[NA],Gal(a1-3)Gal(b1-4)Glc(b1-Sp-[NA],Galili-tri-[NA],Tr59-[NA]
Tr62,4.0804883098182305,2.6183172620265194,G00076PK-[NA],0,Tr62-[NA],Gal(a1-4)Gal(b1-4)GlcNAc(b1-Sp-[NA],P1 tri-[NA],Tr62-[NA]
Tri-AN3,0.3686158298833377,0.13554020205387507,G34704BH-[NA],0,Tri-AN3-[NA],GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp-[NA],Tri-AN3-[NA],Tri-AN3-[NA]
Tri-BN3,0.38519209161378604,0.13322820446035052,G47548GA-[NA],0,Tri-BN3-[NA],Gal(a1-3)[Fuc(a1-2)]Gal(b1-Sp-[NA],Tri-BN3-[NA],Tri-BN3-[NA]
Ty-176,0.6525045975486422,0.12235705776519851,G65889KE-[NA],0,Ty-176-[NA],Gal(b1-P4-[NA],Gal-[NA],Ty-176-[NA]
