IUPAC (LiGA),total,LiGA_StDev,IUPAC (CFG),Average RFU,StDev
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,1.057825752,0.2743306130244642,,,
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,1.18362053,0.155102010726215,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-17.341900000000003,4.031492665667808
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,2.47467876,0.5801806414020512,,,
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,0.91025641,0.43694841034639065,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-12.168049999999997,4.472242859759152
,,,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,-18.775300000000005,8.913512563518378
Neu5Ac(a2-6)GalNAc(a1-Thr,4.175115207,0.9901065426240552,,,
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc(a1-Thr,2.3913043480000002,1.5521544907749452,,,
Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp,1.212583485,0.20778198341993048,,,
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp,0.395380479,0.05365248121406736,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,-13.615474999999998,16.049598764117647
,,,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp8,-7.6282499999999995,3.088857480795554
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp,0.975470622,0.11938580258318746,,,
