IUPAC (LiGA),total,LiGA_StDev,IUPAC (CFG),Average RFU,StDev
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,2.277036355,0.5584934060057832,,,
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,3.410690423,0.1961722266193841,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,83.9308,20.163370356498884
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,2.024539877,0.4334268829820703,,,
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,7.513513514,0.38371113838398463,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,86.793325,20.811229925431288
,,,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,94.16852500000003,12.466532368806181
Neu5Ac(a2-6)GalNAc(a1-Thr,11.61627907,0.3737504162294977,,,
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc(a1-Thr,41.5,4.133669448591547,,,
Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp,2.297000588,0.181289518753416,,,
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp,1.104510687,0.18861357824172564,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,36.51005000000001,20.366179367847398
,,,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp8,49.626225,18.148273880707404
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp,1.771954674,0.11832914882308893,,,
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-Sp,2.7,0.13041286284927325,Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,124.44892499999999,51.859301551497666
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp,1.761127389,0.4725481155206932,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp0,126.29947500000002,15.450007705365032
,,,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp8,77.75455,25.628025911554964
Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc(b1-Sp,1.5243847869999998,0.19542632750683495,Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc(b1-Sp0,132.07100000000003,34.61722551938497
Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-Sp,1.883843717,0.34541915667604545,Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,112.431025,32.99167958484626
"Neu5,9Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp",1.335370936,0.22911605901114865,"Neu5,9Ac2(a2-3)Gal(b1-4)GlcNAc(b1-Sp0",41.72775000000001,37.87349834387273
,,,"Neu5,9Ac2(a2-3)Gal(b1-4)GlcNAc(b1-Sp0",,
Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)GlcNAc(b1-Sp,1.467744055,0.2188680535692958,,,
Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,3.5814696489999998,0.3748204169481063,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,32.325975000000014,11.54508707239428
