IUPAC (LiGA),total,IUPAC (CFG),Average RFU,StDev
Gal(b1-3)GlcNac(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNac(b1-Sp,3.369211196,,,
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,1.218468468,,,
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp,3.512195122,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0 ,8.723675,7.784177903
,,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8 ,-0.50565,10.10739547
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,2.60385505,,,
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,3.151380397,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,10.22625,7.325681045
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,2.040060469,,,
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,1.512820513,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-6.727125,5.061303714
,,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,-5.61935,5.383715603
Neu5Ac(a2-6)GalNAc(a1-Thr,2.276497696,,,
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc(a1-Thr,4.391304348,,,
Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp,2.458485124,,,
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp,0.663124818,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,-11.993175,10.27190378
,,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp8,-6.2899,3.693653558
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp,1.525385054,,,
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-Sp,0.838301716,Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,-5.5611,5.318571798
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp,0.706336425,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp0,-11.7936,7.854988926
,,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp8,-9.884725,5.447179297
Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc(b1-Sp,1.783747594,Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc(b1-Sp0,-1.1926,4.807073687
Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-Sp,1.72957265,Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,3.615975,1.599091186
"Neu5,9Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp",1.269579832,"Neu5,9Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp0",9.138075,17.50211051
,,"Neu5,9Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp0",-7.4495,14.53950128
Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)GlcNAc(b1-Sp,1.217263652,,,
Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,1.67816092,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-24.6108,12.94221958
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp,2.195428105,Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,-6.0809,9.269584007
Neu5Ac(a2-3)[Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc(b1-Sp,6.117115714,,,
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp,3.690322581,Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0,-2.41135,1.968734945
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp,2.021508141,,,
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc(b1-Sp,1.534669339,,,
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc(b1-Sp,2.234501348,,,
KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp,1.659564006,KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,-7.8139,3.617542382
Man(a1-6)[Man(a1-3)]Man(a1-S6,2.33789489,Man(a1-6)[Man(a1-3)]Man(a1-Sp9,-5.963525,6.176167411
Man(a1-S6,1.00394269,Man(a1-Sp8,8.503775,13.73701154
Man(b1-S0,0.946173578,Man(b1-Sp8,5.435025,11.54550492
Man(b1-S0,0.711996431,,,
Man(b1-S0,0.332209899,,,
Galf(b1-S8,0.192406377,,,
Galf(b1-5)Galf(b1-S8,0.851851852,,,
Galf(b1-5)Galf(b1-5)Galf(b1-S8,1.950499792,,,
Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8,1.179815142,,,
Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8,1.864155584,,,
Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8,1.450364327,,0,0
