IUPAC (LiGA),total,IUPAC (CFG),Average RFU,StDev
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,0.443130631,,,
Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp,6.073170732,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp0 ,-9.076975,12.73800234
,,Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8 ,-16.7262,6.951461401
Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,1.057825752,,,
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,1.18362053,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-17.3419,4.031492666
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,2.47467876,,,
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,0.91025641,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,-12.16805,4.47224286
,,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,-18.7753,8.913512564
Neu5Ac(a2-6)GalNAc(a1-Thr,4.175115207,,,
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc(a1-Thr,2.391304348,,,
Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp,1.212583485,,,
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp,0.975470622,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,-13.615475,16.04959876
,,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp8,-7.62825,3.088857481
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp,0.975470622,,,
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-Sp,0.470641373,Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,-10.178725,2.645837504
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp,0.283001055,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp0,-8.316225,9.148926595
,,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp8,-16.216375,7.052071739
Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc(b1-Sp,1.004351829,Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc(b1-Sp0,-20.2515,11.26876066
Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-Sp,1.364444444,Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,-3.71605,3.444692618
"Neu5,9Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp",1.131204482,"Neu5,9Ac2(a2-3)Gal(b1-4)GlcNAc(b1-Sp0",-0.285875,7.774466669
,,"Neu5,9Ac2(a2-3)Gal(b1-4)GlcNAc(b1-Sp0",-0.285875,7.774466669
Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)GlcNAc(b1-Sp,2.435946369,,,
Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,3.045977011,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,-22.4733,14.62667927
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp,1.489947954,Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,-10.451675,17.85041904
Neu5Ac(a2-3)[Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc(b1-Sp,1.717645227,,,
