IUPAC (LiGA),total,IUPAC (CFG),Average RFU,StDev
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,1.569333333,,,
Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp,1.5517241380000002,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0,6.596550000000004,5.03004416978618
,,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8,9.0948,3.584737748659826
Neu5Ac(a2-6)GalNAc(a1-Thr,2.715384615,,,
Gal(b1-3)[Neu5Ac(a2-6)]GalNAc(a1-Thr,4.5,,,
Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp,1.4481579530000002,,,
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp,1.4782051280000001,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,5.173175,5.118036005718729
,,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp8,7.13195,5.094651167319182
Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp,1.4782051280000001,,,
Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-Sp,2.28490991,Neu5Gc(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,7.820424999999999,5.71890272072945
Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp,1.87049582,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp0,7.6536500000000025,7.334407456411641
,,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-Sp8,9.425125000000001,4.3232302925590425
Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc(b1-Sp,1.404089471,Neu5Ac(a2-6)GalNAc(b1-4)GlcNAc(b1-Sp0,5.192925000000001,6.364770370497797
Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-Sp,1.9609826590000001,Neu5Gc(a2-3)Gal(b1-3)GlcNAc(b1-Sp0,5.163099999999999,2.682059177820903
"Neu5,9Ac(a2-3)Gal(b1-4)GlcNAc(b1-Sp",1.2490464079999999,"Neu5,9Ac2(a2-3)Gal(b1-4)GlcNAc(b1-Sp0",10.451474999999999,8.30566902758793
,,"Neu5,9Ac2(a2-3)Gal(b1-4)GlcNAc(b1-Sp0",10.451474999999999,8.30566902758793
Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)GlcNAc(b1-Sp,1.380105219,,,
Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp,1.786144578,Neu5Ac(a2-3)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0,21.607174999999998,17.11588987235253
Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp,1.595924104,Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-3)Gal(a1-4)Gal(b1-4)Glc(b1-Sp0,16.095725,5.000564275742606
Neu5Ac(a2-3)[Neu5Ac(a2-3)Gal(b1-3)GalNAc(b1-4)]Gal(b1-4)Glc(b1-Sp,1.808103545,,,
Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp,2.086206897,Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp0,12.206174999999998,6.1041568772845185
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)Gal(b1-4)Glc(b1-Sp,1.365608166,,,
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc(b1-Sp,1.416395494,,,
Neu5Ac(a2-8)Neu5Ac(a2-8)Neu5Ac(a2-3)[GalNAc(b1-4)]Gal(b1-4)Glc(b1-Sp,2.2237442919999997,,,
KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp,1.666007905,KDN(a2-3)Gal(b1-4)GlcNAc(b1-Sp0,14.637850000000006,15.51169915246768
Man(a1-6)[Man(a1-3)]Man(a1-S6,0.7183031459999999,Man(a1-6)[Man(a1-3)]Man(a1-Sp9,11.329775,8.965932760687346
Man(a1-S6,0.575982105,Man(a1-Sp8,49.749325,9.347486950824564
Man(b1-S0,0.878550794,Man(b1-Sp8,15.378624999999998,12.730147227316992
Man(b1-S0,0.878550794,,,
Man(b1-S0,0.878550794,,,
Galf(b1-S8,2.9959839360000005,,,
Galf(b1-5)Galf(b1-S8,8.361702128,,,
Galf(b1-5)Galf(b1-5)Galf(b1-S8,13.60070801,,,
Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8,10.25930565,,,
Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8,10.25930565,,,
Galf(b1-5)Galf(b1-5)Galf(b1-5)Galf(b1-S8,10.25930565,,0.0,0.0
