Structure on Masterlist,IUPAC
Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp10,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)Glc(b1-Sp10
Fuca1-2Galb1-3GlcNAcb-Sp0,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp0
Fuca1-2Galb1-3GlcNAcb-Sp8,Fuc(a1-2)Gal(b1-3)GlcNAc(b1-Sp8
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp0,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
Fuca1-2Galb1-4(Fuca1-3)GlcNAcb-Sp8,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp8
Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-Sp0
Fuca1-2Galb1-4GlcNAcb-Sp0,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp0
Fuca1-2Galb1-4GlcNAcb-Sp8,Fuc(a1-2)Gal(b1-4)GlcNAc(b1-Sp8
Fuca1-2Galb1-4Glcb-Sp0,Fuc(a1-2)Gal(b1-4)Glc(b1-Sp0
Fuca1-2Galb-Sp8,Fuc(a1-2)Gal(b1-Sp8
Fuca1-3GlcNAcb-Sp8,Fuc(a1-3)GlcNAc(b1-Sp8
Fuca1-4GlcNAcb-Sp8,Fuc(a1-4)GlcNAc(b1-Sp8
Fucb1-3GlcNAcb-Sp8,Fuc(b1-3)GlcNAc(b1-Sp8
GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-3)GlcNAc(b1-Sp0
GalNAca1-3(Fuca1-2)Galb1-4(Fuca1-3)GlcNAcb-Sp0,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-Sp0
(3S)Galb1-4(Fuca1-3)Glcb-Sp0,(3S)Gal(b1-4)[Fuc(a1-3)]Glc(b1-Sp0
GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp0
GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp8,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8
GalNAca1-3(Fuca1-2)Galb1-4Glcb-Sp0,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc(b1-Sp0
GlcNAcb1-3Galb1-3GalNAca-Sp8,GlcNAc(b1-3)Gal(b1-3)GalNAc(a1-Sp8
GalNAca1-3(Fuca1-2)Galb-Sp8,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp8
GalNAca1-3(Fuca1-2)Galb-Sp18,GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-Sp18
GalNAca1-3GalNAcb-Sp8,GalNAc(a1-3)GalNAc(b1-Sp8
GalNAca1-3Galb-Sp8,GalNAc(a1-3)Gal(b1-Sp8
GalNAca1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,GalNAc(a1-4)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-Sp8
GalNAcb1-3GalNAca-Sp8,GalNAc(b1-3)GalNAc(a1-Sp8
GalNAcb1-3(Fuca1-2)Galb-Sp8,GalNAc(b1-3)[Fuc(a1-2)]Gal(b1-Sp8
